custid,first_name,last_name,email,phone,address,city,state,postal_code
101,Aarav,Sharm,aarav12@gmail.com,9876543210,12 MG Rd,Pune,MH,411001
102,Isha,Verma,isha34@yahoo.com,9876543211,22 Park St,Delhi,DL,110001
103,Vihaan,Patel,vihaan56@gmail.com,9876543212,45 Ring Rd,Ahmed,GJ,380001
104,Ananya,Reddy,ananya78@yahoo.com,9876543213,78 Lake Rd,Hyd,TS,500001
105,Arjun,Nair,arjun90@gmail.com,9876543214,33 Beach Rd,Cochi,KL,682001
106,Kavya,Singh,kavya11@yahoo.com,9876543215,19 Civil Ln,Luckn,UP,226001
107,Rohan,Gupta,rohan22@gmail.com,9876543216,67 Bazar Rd,Jaipu,RJ,302001
108,Meera,Chopr,meera33@yahoo.com,9876543217,88 Mall Rd,Amrit,PB,143001
109,Dev,Malhot,dev44@gmail.com,9876543218,54 Club Rd,Gurug,HR,122001
110,Priya,Iyer,priya55@yahoo.com,9876543219,90 Hill Rd,Chenn,TN,600001
